epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
49,2020-12-02,253,RS,Pelotas,4314407,city,6721,1958.72142,0,179,0,0.0266,343132,False,True
49,2020-12-01,252,RS,Pelotas,4314407,city,6721,1958.72142,13,179,1,0.0266,343132,True,False
49,2020-11-30,251,RS,Pelotas,4314407,city,6708,1954.9328,59,178,4,0.0265,343132,False,False
49,2020-11-29,250,RS,Pelotas,4314407,city,6649,1937.73825,150,174,1,0.0262,343132,False,False
48,2020-11-28,249,RS,Pelotas,4314407,city,6499,1894.02329,45,173,0,0.0266,343132,False,False
48,2020-11-27,248,RS,Pelotas,4314407,city,6454,1880.9088,21,173,0,0.0268,343132,False,False
48,2020-11-26,247,RS,Pelotas,4314407,city,6433,1874.78871,7,173,1,0.0269,343132,False,False
48,2020-11-25,246,RS,Pelotas,4314407,city,6426,1872.74868,88,172,5,0.0268,343132,False,False
48,2020-11-24,245,RS,Pelotas,4314407,city,6338,1847.10257,0,167,0,0.0263,343132,False,True
48,2020-11-23,244,RS,Pelotas,4314407,city,6338,1847.10257,0,167,0,0.0263,343132,False,True
48,2020-11-22,243,RS,Pelotas,4314407,city,6338,1847.10257,47,167,1,0.0263,343132,False,False
47,2020-11-21,242,RS,Pelotas,4314407,city,6291,1833.40522,10,166,2,0.0264,343132,False,False
47,2020-11-20,241,RS,Pelotas,4314407,city,6281,1830.49089,9,164,1,0.0261,343132,False,False
47,2020-11-19,240,RS,Pelotas,4314407,city,6272,1827.86799,1,163,0,0.026,343132,False,False
47,2020-11-18,239,RS,Pelotas,4314407,city,6271,1827.57656,15,163,1,0.026,343132,False,False
47,2020-11-17,238,RS,Pelotas,4314407,city,6256,1823.20506,20,162,4,0.0259,343132,False,False
47,2020-11-16,237,RS,Pelotas,4314407,city,6236,1817.3764,62,158,0,0.0253,343132,False,False
47,2020-11-15,236,RS,Pelotas,4314407,city,6174,1799.30756,100,158,0,0.0256,343132,False,False
46,2020-11-14,235,RS,Pelotas,4314407,city,6074,1770.16425,125,158,0,0.026,343132,False,False
46,2020-11-13,234,RS,Pelotas,4314407,city,5949,1733.73512,13,158,0,0.0266,343132,False,False
46,2020-11-12,233,RS,Pelotas,4314407,city,5936,1729.94649,5,158,4,0.0266,343132,False,False
46,2020-11-11,232,RS,Pelotas,4314407,city,5931,1728.48933,54,154,1,0.026,343132,False,False
46,2020-11-10,231,RS,Pelotas,4314407,city,5877,1712.75194,-4,153,0,0.026,343132,False,False
46,2020-11-09,230,RS,Pelotas,4314407,city,5881,1713.91768,71,153,0,0.026,343132,False,False
46,2020-11-08,229,RS,Pelotas,4314407,city,5810,1693.22593,124,153,0,0.0263,343132,False,False
45,2020-11-07,228,RS,Pelotas,4314407,city,5686,1657.08823,3,153,0,0.0269,343132,False,False
45,2020-11-06,227,RS,Pelotas,4314407,city,5683,1656.21394,8,153,0,0.0269,343132,False,False
45,2020-11-05,226,RS,Pelotas,4314407,city,5675,1653.88247,59,153,1,0.027,343132,False,False
45,2020-11-04,225,RS,Pelotas,4314407,city,5616,1636.68792,-3,152,2,0.0271,343132,False,False
45,2020-11-03,224,RS,Pelotas,4314407,city,5619,1637.56222,2,150,0,0.0267,343132,False,False
45,2020-11-02,223,RS,Pelotas,4314407,city,5617,1636.97935,1,150,0,0.0267,343132,False,False
45,2020-11-01,222,RS,Pelotas,4314407,city,5616,1636.68792,0,150,0,0.0267,343132,False,False
44,2020-10-31,221,RS,Pelotas,4314407,city,5616,1636.68792,10,150,0,0.0267,343132,False,False
44,2020-10-30,220,RS,Pelotas,4314407,city,5606,1633.77359,87,150,1,0.0268,343132,False,False
44,2020-10-29,219,RS,Pelotas,4314407,city,5519,1608.41892,96,149,2,0.027,343132,False,False
44,2020-10-28,218,RS,Pelotas,4314407,city,5423,1580.44135,81,147,1,0.0271,343132,False,False
44,2020-10-27,217,RS,Pelotas,4314407,city,5342,1556.83527,91,146,0,0.0273,343132,False,False
44,2020-10-26,216,RS,Pelotas,4314407,city,5251,1530.31486,76,146,0,0.0278,343132,False,False
44,2020-10-25,215,RS,Pelotas,4314407,city,5175,1508.16595,0,146,0,0.0282,343132,False,True
43,2020-10-24,214,RS,Pelotas,4314407,city,5175,1508.16595,122,146,0,0.0282,343132,False,False
43,2020-10-23,213,RS,Pelotas,4314407,city,5053,1472.61112,120,146,2,0.0289,343132,False,False
43,2020-10-22,212,RS,Pelotas,4314407,city,4933,1437.63916,12,144,2,0.0292,343132,False,False
43,2020-10-21,211,RS,Pelotas,4314407,city,4921,1434.14196,10,142,0,0.0289,343132,False,False
43,2020-10-20,210,RS,Pelotas,4314407,city,4911,1431.22763,19,142,1,0.0289,343132,False,False
43,2020-10-19,209,RS,Pelotas,4314407,city,4892,1425.6904,12,141,2,0.0288,343132,False,False
43,2020-10-18,208,RS,Pelotas,4314407,city,4880,1422.19321,59,139,0,0.0285,343132,False,False
42,2020-10-17,207,RS,Pelotas,4314407,city,4821,1404.99866,0,139,0,0.0288,343132,False,True
42,2020-10-16,206,RS,Pelotas,4314407,city,4821,1404.99866,61,139,1,0.0288,343132,False,False
42,2020-10-15,205,RS,Pelotas,4314407,city,4760,1387.22124,42,138,2,0.029,343132,False,False
42,2020-10-14,204,RS,Pelotas,4314407,city,4718,1374.98106,25,136,0,0.0288,343132,False,False
42,2020-10-13,203,RS,Pelotas,4314407,city,4693,1367.69523,52,136,0,0.029,343132,False,False
42,2020-10-12,202,RS,Pelotas,4314407,city,4641,1352.54071,0,136,0,0.0293,343132,False,True
42,2020-10-11,201,RS,Pelotas,4314407,city,4641,1352.54071,7,136,0,0.0293,343132,False,False
41,2020-10-10,200,RS,Pelotas,4314407,city,4634,1350.50068,46,136,2,0.0293,343132,False,False
41,2020-10-09,199,RS,Pelotas,4314407,city,4588,1337.09476,53,134,0,0.0292,343132,False,False
41,2020-10-08,198,RS,Pelotas,4314407,city,4535,1321.64881,54,134,6,0.0295,343132,False,False
41,2020-10-07,197,RS,Pelotas,4314407,city,4481,1305.91143,45,128,2,0.0286,343132,False,False
41,2020-10-06,196,RS,Pelotas,4314407,city,4436,1292.79694,10,126,0,0.0284,343132,False,False
41,2020-10-05,195,RS,Pelotas,4314407,city,4426,1289.88261,1,126,0,0.0285,343132,False,False
41,2020-10-04,194,RS,Pelotas,4314407,city,4425,1289.59118,6,126,0,0.0285,343132,False,False
40,2020-10-03,193,RS,Pelotas,4314407,city,4419,1287.84258,207,126,0,0.0285,343132,False,False
40,2020-10-02,192,RS,Pelotas,4314407,city,4212,1227.51594,111,126,0,0.0299,343132,False,False
40,2020-10-01,191,RS,Pelotas,4314407,city,4101,1195.16687,103,126,1,0.0307,343132,False,False
40,2020-09-30,190,RS,Pelotas,4314407,city,3998,1165.14927,106,125,1,0.0313,343132,False,False
40,2020-09-29,189,RS,Pelotas,4314407,city,3892,1134.25737,50,124,0,0.0319,343132,False,False
40,2020-09-28,188,RS,Pelotas,4314407,city,3842,1119.68572,3,124,3,0.0323,343132,False,False
40,2020-09-27,187,RS,Pelotas,4314407,city,3839,1118.81142,68,121,1,0.0315,343132,False,False
39,2020-09-26,186,RS,Pelotas,4314407,city,3771,1098.99397,44,120,2,0.0318,343132,False,False
39,2020-09-25,185,RS,Pelotas,4314407,city,3727,1086.17092,16,118,1,0.0317,343132,False,False
39,2020-09-24,184,RS,Pelotas,4314407,city,3711,1081.50799,70,117,0,0.0315,343132,False,False
39,2020-09-23,183,RS,Pelotas,4314407,city,3641,1061.10768,139,117,1,0.0321,343132,False,False
39,2020-09-22,182,RS,Pelotas,4314407,city,3502,1020.59849,58,116,2,0.0331,343132,False,False
39,2020-09-21,181,RS,Pelotas,4314407,city,3444,1003.69537,4,114,0,0.0331,343132,False,False
39,2020-09-20,180,RS,Pelotas,4314407,city,3440,1002.52964,31,114,1,0.0331,343132,False,False
38,2020-09-19,179,RS,Pelotas,4314407,city,3409,993.49521,103,113,7,0.0331,343132,False,False
38,2020-09-18,178,RS,Pelotas,4314407,city,3306,963.47761,124,106,10,0.0321,343132,False,False
38,2020-09-17,177,RS,Pelotas,4314407,city,3182,927.33992,147,96,0,0.0302,343132,False,False
38,2020-09-16,176,RS,Pelotas,4314407,city,3035,884.49926,119,96,0,0.0316,343132,False,False
38,2020-09-15,175,RS,Pelotas,4314407,city,2916,849.81873,97,96,0,0.0329,343132,False,False
38,2020-09-14,174,RS,Pelotas,4314407,city,2819,821.54972,3,96,0,0.0341,343132,False,False
